ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u118	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Ranc, Danilo Anton	M	1957
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u119	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u120	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Bah Žibert, Anja	F	1973
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u121	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u122	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Grošelj Košnik, Irena	F	1957
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u123	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u124	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Lep Šimenko, Suzana	F	1979
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u125	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u126	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Žnidar, Ljubo	M	1960
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u127	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u128	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Škodnik, Ivan	M	1955
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u129	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u130	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	NSi	Nova Slovenija – Krščanski demokrati	Opposition	Lah, Zvonko	M	1958
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u131	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u132	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Gorenak, Vinko	M	1955
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u133	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u134	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Zajc, Simon	M	1980
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u135	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u136	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Verbič, Dušan	M	1952
